CODIGO,NUMERO,REFERENCIA,CANTIDADCOMPRA,UNIDADESCONSUMOCONTENIDAS,PRECIO,IMPORTELINEA,PRODUCTO,DAY,MONTH,YEAR,MONTH_YEAR,DAY_MONTH_YEAR,MONTH_NAME,TIPOCOMPRA_Compra menor,TIPOCOMPRA_Concurso,TGL_ALMACENABLE,TGL_TRANSITO,REGION,HOSPITAL,DEPARTMENT,PUR_CLUSTER,HOSP_CLUSTER
6,226947/22,46,360,10,42.349958,1524.598488,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-10,1,3,22,322,1322,3-March,0,1,1,0,0,10,1,2,1
17,226926/22,31,150,10,13.959,209.385,APOSITO DE ESPUMA POLIURETANO-8,1,3,22,322,1322,3-March,0,1,1,0,0,10,1,2,1
19,227036/22,18,50,50,215.325,215.325,APOSITO DE ESPUMA POLIURETANO / SACRO-11,1,3,22,322,1322,3-March,1,0,1,0,0,10,1,1,1
36,227320/22,15,50,10,47.19,235.95,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,1,3,22,322,1322,3-March,0,1,1,0,0,18,1,2,1
5,250372/23,40,15,5,12.1,36.3,APOSITO DE HIDROFIBRA  / CINTA-18,1,3,23,323,1323,3-March,1,0,0,1,0,14,23,3,0
7,250363/23,45,170,5,26.399925,897.59745,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,1,3,23,323,1323,3-March,1,0,1,0,0,18,1,1,1
23,250258/23,27,210,5,5.6529,237.4218,APOSITO DE HIDROCOLOIDE-3,1,3,23,323,1323,3-March,0,1,1,0,0,10,1,2,1
41,251129/23,43,25,5,437.02,2185.1,EQ. DE PRESION NEGATIVA / Espuma de poliuretano-32,1,3,23,323,1323,3-March,1,0,0,1,0,18,108,3,0
42,251129/23,42,15,5,461.31,1383.93,EQ. DE PRESION NEGATIVA / Espuma de poliuretano-36,1,3,23,323,1323,3-March,1,0,0,1,0,18,108,3,0
43,250990/23,65,5,5,510.4,510.4,EQ. DE PRESION NEGATIVA / Espuma de poliuretano con plata-35,1,3,23,323,1323,3-March,1,0,0,1,0,11,112,3,0
6,250360/23,46,400,10,42.349958,1693.99832,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-10,1,3,23,323,1323,3-March,1,0,1,0,0,10,1,1,1
14,250381/23,19,300,300,766.128,766.128,APOSITO C/ CARBON Y PLATA-6,1,3,23,323,1323,3-March,0,1,1,0,0,10,1,2,1
18,250627/23,9,270,10,15.345,414.315,APOSITO MALLADO C/ PARAFINA-38,1,3,23,323,1323,3-March,1,0,1,0,0,10,1,1,1
18,250631/23,9,300,10,15.345,460.35,APOSITO MALLADO C/ PARAFINA-38,1,3,23,323,1323,3-March,1,0,1,0,0,18,1,1,1
21,250632/23,21,5000,1000,14.1,70.5,APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,1,3,23,323,1323,3-March,1,0,1,0,0,18,1,0,1
26,250627/23,10,250,10,34.98,874.5,APOSITO MALLADO C/ PARAFINA-39,1,3,23,323,1323,3-March,1,0,1,0,0,10,1,1,1
26,250631/23,10,200,10,34.98,699.6,APOSITO MALLADO C/ PARAFINA-39,1,3,23,323,1323,3-March,1,0,1,0,0,18,1,1,1
34,250258/23,29,450,10,27.280155,1227.606975,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-14,1,3,23,323,1323,3-March,0,1,1,0,0,10,1,2,1
34,250273/23,29,40,10,27.280155,109.12062,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-14,1,3,23,323,1323,3-March,0,1,1,0,0,18,1,2,1
37,251275/23,16,10,10,62.59,62.59,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,1,3,23,323,1323,3-March,1,0,0,1,0,11,113,3,0
37,250374/23,16,30,10,62.59,187.77,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,1,3,23,323,1323,3-March,1,0,0,1,0,14,23,3,0
38,251129/23,41,9,3,1633.22,4899.66,EQ. DE PRESIÓN NEGATIVA ABDOMINAL-29,1,3,23,323,1323,3-March,1,0,0,1,0,18,108,3,0
23,286977/15,25,320,5,8.250039,528.002496,APOSITO DE HIDROCOLOIDE-3,1,4,15,415,1415,4-April,1,0,1,0,0,10,1,1,1
21,287119/15,21,2000,1000,10.461204,20.922408,APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,1,4,15,415,1415,4-April,1,0,1,0,0,10,1,1,1
7,295389/16,45,200,5,29.15,1166.0,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,1,4,16,416,1416,4-April,1,0,1,0,0,0,2,1,1
7,295397/16,45,205,5,29.15,1195.15,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,1,4,16,416,1416,4-April,1,0,1,0,0,10,1,1,1
15,295144/16,37,60,5,5.24537,62.94444,HIDROGEL-37,1,4,16,416,1416,4-April,1,0,1,0,0,0,2,1,1
14,295904/16,19,300,300,792.0,792.0,APOSITO C/ CARBON Y PLATA-6,1,4,16,416,1416,4-April,1,0,1,0,0,0,2,1,1
14,295917/16,19,600,300,792.0,1584.0,APOSITO C/ CARBON Y PLATA-6,1,4,16,416,1416,4-April,1,0,1,0,0,6,1,1,1
16,298966/16,23,70,70,493.416,493.416,APOSITO MALLADO C/ SILICONA-0,1,4,16,416,1416,4-April,1,0,1,0,0,0,2,1,1
21,297916/16,21,2000,1000,10.461204,20.922408,APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,1,4,16,416,1416,4-April,1,0,1,0,0,10,1,1,1
28,289604/19,8,10,5,32.78,65.56,APOSITO DE HIDROCOLOIDE C/ PLATA-5,1,4,19,419,1419,4-April,1,0,0,0,0,12,123,3,0
9,289804/19,12,2000,400,44.0,220.0,APÓSITO TRANSPARENTE ADHESIVO-24,1,4,19,419,1419,4-April,1,0,1,0,0,10,1,1,1
22,290196/19,36,100,10,14.0,140.0,APOSITO DE ALGINATO C/ PLATA-6,1,4,19,419,1419,4-April,1,0,1,0,0,10,1,1,1
32,290907/19,66,170,10,61.40211,1043.83587,APOSITO C/ CARBON Y PLATA-4,1,4,19,419,1419,4-April,0,1,1,0,0,18,1,2,1
36,290909/19,15,70,10,47.3,331.1,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,1,4,19,419,1419,4-April,1,0,1,0,0,18,1,1,1
15,347252/20,37,265,5,5.24537,278.00461,HIDROGEL-37,1,4,20,420,1420,4-April,1,0,1,0,0,10,1,1,1
47,348052/20,49,5,5,114.95,114.95,APOSITO DE HIDROFIBRA HIDROCOLOIDE P/ BOMBA DE UN SOLO USO-26,1,4,20,420,1420,4-April,1,0,0,1,0,11,168,3,0
7,347279/20,45,800,100,539.0055,4312.044,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,1,4,20,420,1420,4-April,0,1,1,0,0,13,1,2,1
46,348053/20,55,5,1,154.0,770.0,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA C/ APOSITO-27,1,4,20,420,1420,4-April,1,0,0,1,0,11,168,3,0
0,389579/22,39,10,1,11.22,112.2,GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,1,4,22,422,1422,4-April,1,0,0,1,0,10,163,3,0
1,393105/22,38,110,10,107.25,1179.75,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,1,4,22,422,1422,4-April,1,0,1,0,0,10,1,1,1
6,393757/22,46,120,10,42.349958,508.199496,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-10,1,4,22,422,1422,4-April,0,1,1,0,0,0,2,2,1
25,393755/22,11,100,10,53.68,536.8,APOSITO DE FIBRAS DE POLIACRILATO-3,1,4,22,422,1422,4-April,0,1,1,0,0,0,2,2,1
34,393758/22,29,100,10,27.280155,272.80155,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-14,1,4,22,422,1422,4-April,0,1,1,0,0,0,2,2,1
1,442124/15,38,30,10,102.803729,308.411187,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,1,6,15,615,1615,6-June,1,0,1,0,0,6,1,1,1
1,442130/15,38,30,10,102.803729,308.411187,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,1,6,15,615,1615,6-June,1,0,1,0,0,4,1,1,1
7,442156/15,45,200,5,29.15,1166.0,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,1,6,15,615,1615,6-June,1,0,1,0,0,6,1,1,1
11,442202/15,34,5120,640,68.288,546.304,APÓSITO ABSORBENTE C/ ADHESIVO-22,1,6,15,615,1615,6-June,1,0,1,0,0,18,1,0,1
14,442178/15,19,600,300,792.0,1584.0,APOSITO C/ CARBON Y PLATA-6,1,6,15,615,1615,6-June,0,1,1,0,0,13,1,2,1
18,442238/15,9,350,10,17.27,604.45,APOSITO MALLADO C/ PARAFINA-38,1,6,15,615,1615,6-June,1,0,1,0,0,13,1,1,1
21,442230/15,21,2000,1000,10.461204,20.922408,APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,1,6,15,615,1615,6-June,1,0,1,0,0,10,1,1,1
5,558445/16,40,10,5,12.1,24.2,APOSITO DE HIDROFIBRA  / CINTA-18,1,6,16,616,1616,6-June,1,0,0,1,0,4,129,3,0
7,559223/16,45,70,5,29.15,408.1,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,1,6,16,616,1616,6-June,1,0,1,0,0,18,1,1,1
23,559220/16,25,400,5,8.250039,660.00312,APOSITO DE HIDROCOLOIDE-3,1,6,16,616,1616,6-June,1,0,1,0,0,10,1,1,1
24,559220/16,24,800,10,6.677003,534.16024,APOSITO DE HIDROCOLOIDE-6,1,6,16,616,1616,6-June,1,0,1,0,0,10,1,1,1
26,559420/16,10,220,10,35.2,774.4,APOSITO MALLADO C/ PARAFINA-39,1,6,16,616,1616,6-June,1,0,1,0,0,6,1,1,1
7,412026/17,45,200,100,539.0055,1078.011,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,1,6,17,617,1617,6-June,0,1,1,0,0,0,2,2,1
14,412043/17,19,300,300,792.0,792.0,APOSITO C/ CARBON Y PLATA-6,1,6,17,617,1617,6-June,0,1,1,0,0,0,2,2,1
18,412748/17,9,250,10,17.259,431.475,APOSITO MALLADO C/ PARAFINA-38,1,6,17,617,1617,6-June,0,1,1,0,0,18,1,2,1
26,412748/17,10,200,10,35.189001,703.78002,APOSITO MALLADO C/ PARAFINA-39,1,6,17,617,1617,6-June,0,1,1,0,0,18,1,2,1
27,412023/17,47,200,10,20.9,418.0,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,1,6,17,617,1617,6-June,1,0,1,0,0,10,1,1,1
5,500871/18,40,50,5,12.1,121.0,APOSITO DE HIDROFIBRA  / CINTA-18,1,6,18,618,1618,6-June,1,0,0,1,0,18,173,3,0
9,500581/18,12,2000,400,44.0,220.0,APÓSITO TRANSPARENTE ADHESIVO-24,1,6,18,618,1618,6-June,1,0,1,0,0,18,1,1,1
27,500613/18,47,200,10,20.9,418.0,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,1,6,18,618,1618,6-June,1,0,1,0,0,10,1,1,1
37,499753/18,16,20,10,62.7,125.4,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,1,6,18,618,1618,6-June,1,0,0,1,0,6,76,3,0
0,573270/20,39,4,1,9.9,39.6,GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,1,6,20,620,1620,6-June,1,0,0,1,0,15,15,3,0
0,574054/20,39,8,1,9.9,79.2,GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,1,6,20,620,1620,6-June,1,0,0,1,0,17,162,3,0
41,574119/20,43,10,5,324.148,648.296,EQ. DE PRESION NEGATIVA / Espuma de poliuretano-32,1,6,20,620,1620,6-June,1,0,0,1,1,2,59,3,0
13,573850/20,1,700,350,577.5,1155.0,APÓSITO ADHESIVO ABSORBENTE IMPERMEABLE C/ BOLSA-21,1,6,20,620,1620,6-June,0,1,0,1,0,11,118,3,0
27,573085/20,47,160,10,20.9,334.4,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,1,6,20,620,1620,6-June,1,0,1,0,0,10,1,1,1
33,571951/20,67,12,12,77.88,77.88,ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17,1,6,20,620,1620,6-June,1,0,0,1,0,12,154,3,0
9,545211/21,51,1600,100,9.900001,158.400016,APÓSITO TRANSPARENTE ADHESIVO-24,1,6,21,621,1621,6-June,0,1,1,0,0,18,1,2,1
9,545213/21,51,2000,2000,198.000012,198.000012,APÓSITO TRANSPARENTE ADHESIVO-24,1,6,21,621,1621,6-June,0,1,1,0,0,0,2,2,1
25,539633/21,11,80,80,429.44,429.44,APOSITO DE FIBRAS DE POLIACRILATO-3,1,6,21,621,1621,6-June,0,1,1,0,0,0,2,2,1
31,539142/21,17,100,50,119.9,239.8,APOSITO DE HIDROCOLOIDE-7,1,6,21,621,1621,6-June,0,1,1,0,0,0,2,2,1
36,539641/21,15,60,10,47.19,283.14,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,1,6,21,621,1621,6-June,0,1,1,0,0,18,1,2,1
5,663580/22,40,15,5,12.1,36.3,APOSITO DE HIDROFIBRA  / CINTA-18,1,6,22,622,1622,6-June,1,0,0,1,0,14,50,3,0
41,660707/22,60,5,5,412.5,412.5,EQ. DE PRESION NEGATIVA / Espuma de poliuretano-32,1,6,22,622,1622,6-June,1,0,0,1,0,10,155,3,0
41,662037/22,60,5,5,412.5,412.5,EQ. DE PRESION NEGATIVA / Espuma de poliuretano-32,1,6,22,622,1622,6-June,1,0,0,1,0,4,111,3,0
43,660707/22,65,5,5,510.4,510.4,EQ. DE PRESION NEGATIVA / Espuma de poliuretano con plata-35,1,6,22,622,1622,6-June,1,0,0,1,0,10,155,3,0
47,660706/22,49,5,5,114.95,114.95,APOSITO DE HIDROFIBRA HIDROCOLOIDE P/ BOMBA DE UN SOLO USO-26,1,6,22,622,1622,6-June,1,0,0,1,0,10,155,3,0
18,662444/22,9,240,10,15.345,368.28,APOSITO MALLADO C/ PARAFINA-38,1,6,22,622,1622,6-June,0,1,1,0,0,10,1,2,1
18,661340/22,9,500,10,15.345,767.25,APOSITO MALLADO C/ PARAFINA-38,1,6,22,622,1622,6-June,0,1,1,0,0,13,1,2,1
20,663385/22,30,1008,3,0.989571,332.495856,APOSITO DE HIDROCOLOIDE-9,1,6,22,622,1622,6-June,0,1,1,0,0,0,2,2,1
26,661344/22,10,230,10,34.98,804.54,APOSITO MALLADO C/ PARAFINA-39,1,6,22,622,1622,6-June,0,1,1,0,0,10,1,2,1
36,663386/22,15,100,10,47.19,471.9,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,1,6,22,622,1622,6-June,0,1,1,0,0,0,2,2,1
37,663576/22,16,30,10,62.595,187.785,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,1,6,22,622,1622,6-June,0,1,0,1,0,14,50,3,0
43,663495/22,63,10,10,1126.4,1126.4,EQ. DE PRESION NEGATIVA / Espuma de poliuretano con plata-35,1,6,22,622,1622,6-June,1,0,0,1,0,7,11,3,0
